,COM,DOV,RIC,CROB,KIRN,MALV,TULP,DUD,STI,RSV,QUI1,BAI,QUIN
COM,0,4961.32161,11978.0845,17069.97247,20150.02734,15128.91439,12000.45121,16495.02444,10397.86115,12490.33147,10566.4559,23062.22355,8540.136509
DOV,4961.32161,0,7270.399287,12934.56949,16030.38449,11117.49881,8497.483458,12476.64171,8818.194828,11386.50431,11673.42104,19587.0329,10746.28279
RIC,11978.0845,7270.399287,0,6230.780643,9186.131761,4877.310761,4523.354664,6025.424384,8442.068665,10646.18668,13896.20612,13493.17573,14470.23187
CROB,17069.97247,12934.56949,6230.780643,0,3100.357778,1984.343983,5388.771532,796.691177,9466.304731,10358.85936,15175.60817,7355.391817,16793.73764
KIRN,20150.02734,16030.38449,9186.131761,3100.357778,0,5022.415494,8322.711117,3663.61101,12020.73805,12444.07395,17511.94292,5131.292041,19378.67425
MALV,15128.91439,11117.49881,4877.310761,1984.343983,5022.415494,0,3417.360634,1370.858702,7648.745826,8816.430363,13427.30556,8686.886018,14918.19791
TULP,12000.45121,8497.483458,4523.354664,5388.771532,8322.711117,3417.360634,0,4688.50383,4531.699704,6311.938756,10336.79058,11157.39324,11597.98299
DUD,16495.02444,12476.64171,6025.424384,796.691177,3663.61101,1370.858702,4688.50383,0,8684.105327,9564.060118,14382.36757,7467.764104,16020.73487
STI,10397.86115,8818.194828,8442.068665,9466.304731,12020.73805,7648.745826,4531.699704,8684.105327,0,2617.170586,5815.266248,13453.02438,7361.116518
RSV,12490.33147,11386.50431,10646.18668,10358.85936,12444.07395,8816.430363,6311.938756,9564.060118,2617.170586,0,5202.031273,12835.02151,7579.824073
QUI1,10566.4559,11673.42104,13896.20612,15175.60817,17511.94292,13427.30556,10336.79058,14382.36757,5815.266248,5202.031273,0,18002.38796,2862.248046
BAI,23062.22355,19587.0329,13493.17573,7355.391817,5131.292041,8686.886018,11157.39324,7467.764104,13453.02438,12835.02151,18002.38796,0,20381.94639
QUIN,8540.136509,10746.28279,14470.23187,16793.73764,19378.67425,14918.19791,11597.98299,16020.73487,7361.116518,7579.824073,2862.248046,20381.94639,0